<<<<<<< HEAD
id,region,sexo,tramo_etario,informalidad,nivel_educativo,lugar_trabajo,financiamiento_inicial,motivacion,tramos_ganancias,rama_economica,ganancia_final
68530271,Atacama,Hombre,55 a 64 años,Formal,Superior completa (IP/CFT),Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Construcción,1400000.0
23382097,Arica y Parinacota,Hombre,55 a 64 años,Informal,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Explotación de minas,300000.0
31830963,Tarapacá,Hombre,25 a 34 años,Formal,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Tradición familiar,De $1.000.000 a $1.500.000,Comercio,2000000.0
73335675,Arica y Parinacota,Mujer,55 a 64 años,Informal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,280000.0
29899077,Atacama,Hombre,55 a 64 años,Formal,Media completa,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Explotación de minas,900000.0
40168292,Arica y Parinacota,Mujer,25 a 34 años,Informal,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,150000.0
77761561,Arica y Parinacota,Mujer,65 años o más,Informal,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,200000.0
18634185,Atacama,Mujer,35 a 44 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,500000.0
34008572,Tarapacá,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,En la vía pública / Kiosco,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Suministro de electricidad y agua,1000000.0
74405886,Tarapacá,Hombre,35 a 44 años,Informal,Media completa,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,"Agricultura, silvicultura y pesca",100000.0
25870489,Atacama,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,Obra en construcción,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Industrias manufactureras,400000.0
76539242,Atacama,Mujer,35 a 44 años,Formal,Media completa,En su propio hogar,Préstamos de familiares/amigos,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,330000.0
61281866,Tarapacá,Mujer,35 a 44 años,Informal,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,300000.0
77625071,Tarapacá,Hombre,35 a 44 años,Formal,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar,Más de $2.500.000,Suministro de electricidad y agua,18000000.0
64900774,Tarapacá,Mujer,35 a 44 años,Informal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,190000.0
46649646,Tarapacá,Hombre,35 a 44 años,Formal,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Suministro de electricidad y agua,1500000.0
63338823,Atacama,Hombre,35 a 44 años,Formal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $300.000 a $600.000,Comercio,1000000.0
70223009,Atacama,Mujer,35 a 44 años,Informal,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,"Agricultura, silvicultura y pesca",300000.0
12617266,Atacama,Hombre,65 años o más,Formal,Sin instrucción / Básica incompleta,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Tradición familiar,De $300.000 a $600.000,Suministro de electricidad y agua,583333.333333333
53748326,Atacama,Hombre,45 a 54 años,Informal,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Financiamiento formal (Bancos/Instituciones),Tradición familiar,De $300.000 a $600.000,"Agricultura, silvicultura y pesca",1000000.0
14928804,Atacama,Hombre,65 años o más,Formal,Superior completa (IP/CFT),En la vía pública / Kiosco,Solo ahorros/recursos propios,Complementar ingresos,Menos de $300.000,"Agricultura, silvicultura y pesca",-5280000.0
69492468,Atacama,Mujer,45 a 54 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Suministro de electricidad y agua,1000000.0
41037966,Atacama,Mujer,55 a 64 años,Formal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,500000.0
62042808,Atacama,Mujer,65 años o más,Formal,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,500000.0
78882643,Arica y Parinacota,Mujer,45 a 54 años,Formal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,400000.0
29676053,Arica y Parinacota,Hombre,65 años o más,Formal,Superior completa (IP/CFT),En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Comercio,200000.0
21588258,Tarapacá,Mujer,55 a 64 años,Informal,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,40000.0
20843911,Tarapacá,Mujer,35 a 44 años,Formal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Suministro de electricidad y agua,1300000.0
20374863,Arica y Parinacota,Mujer,45 a 54 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,60000.0
58020669,Atacama,Mujer,35 a 44 años,Formal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar,De $300.000 a $600.000,Suministro de electricidad y agua,600000.0
57714383,Atacama,Mujer,45 a 54 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,400000.0
43694942,Arica y Parinacota,Mujer,45 a 54 años,Formal,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Comercio,512667.0
49166585,Arica y Parinacota,Hombre,35 a 44 años,Informal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Comercio,500000.0
30706667,Tarapacá,Hombre,45 a 54 años,Informal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Construcción,300000.0
26508489,Tarapacá,Mujer,45 a 54 años,Formal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Más de $2.500.000,Suministro de electricidad y agua,6000000.0
13013311,Tarapacá,Hombre,35 a 44 años,Informal,Sin instrucción / Básica incompleta,Obra en construcción,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,"Agricultura, silvicultura y pesca",500000.0
40449753,Tarapacá,Mujer,45 a 54 años,Informal,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,500000.0
22736690,Arica y Parinacota,Hombre,15 a 24 años,Formal,Media completa,En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Construcción,250000.0
71763913,Tarapacá,Hombre,65 años o más,Formal,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Construcción,171168.0
26564224,Atacama,Mujer,55 a 64 años,Informal,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,250000.0
72513443,Arica y Parinacota,Mujer,25 a 34 años,Informal,Superior completa (IP/CFT),Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,40000.0
64355782,Arica y Parinacota,Hombre,65 años o más,Informal,Básica completa / Media incompleta,En el hogar del cliente,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Construcción,80000.0
35153375,Tarapacá,Mujer,45 a 54 años,Formal,Media completa,Otro lugar fijo fuera del hogar,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),De $300.000 a $600.000,Construcción,600000.0
66297929,Atacama,Mujer,65 años o más,Informal,Básica completa / Media incompleta,Vehículo,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,400000.0
87626144,Atacama,Hombre,35 a 44 años,Informal,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Industrias manufactureras,1300000.0
79120846,Tarapacá,Mujer,65 años o más,Formal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Suministro de electricidad y agua,1060152.0
75397445,Atacama,Hombre,25 a 34 años,Informal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Construcción,1000000.0
71014754,Atacama,Mujer,45 a 54 años,Informal,Media completa,Vehículo,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,20000.0
25074604,Tarapacá,Hombre,35 a 44 años,Formal,Superior completa (IP/CFT),En su propio hogar,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades),Más de $2.500.000,Suministro de electricidad y agua,5500000.0
28643113,Tarapacá,Hombre,55 a 64 años,Informal,Superior incompleta (IP/CFT/Univ),No tiene un lugar fijo,Solo ahorros/recursos propios,Complementar ingresos,De $300.000 a $600.000,Industrias manufactureras,850000.0
71046981,Atacama,Mujer,45 a 54 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,200000.0
72838159,Tarapacá,Hombre,35 a 44 años,Formal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Más de $2.500.000,Suministro de electricidad y agua,3000000.0
86140113,Tarapacá,Hombre,65 años o más,Formal,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Comercio,800000.0
83129434,Atacama,Hombre,35 a 44 años,Informal,Básica completa / Media incompleta,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,"Agricultura, silvicultura y pesca",700000.0
61223159,Atacama,Hombre,45 a 54 años,Informal,Media completa,Obra en construcción,Solo ahorros/recursos propios,Tradición familiar,De $600.000 a $1.000.000,Industrias manufactureras,1280000.0
34569137,Tarapacá,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,300000.0
37977455,Tarapacá,Hombre,65 años o más,Formal,Media completa,Predio agrícola,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades),Más de $2.500.000,Construcción,19000000.0
68260766,Atacama,Mujer,65 años o más,Formal,Básica completa / Media incompleta,En la vía pública / Kiosco,Préstamos de familiares/amigos,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,-430000.0
52606717,Atacama,Mujer,35 a 44 años,Informal,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,200000.0
57767682,Atacama,Hombre,65 años o más,Informal,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,250000.0
44153550,Arica y Parinacota,Hombre,45 a 54 años,Formal,Superior incompleta (IP/CFT/Univ),En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Construcción,-40000.0
64222851,Arica y Parinacota,Hombre,55 a 64 años,Formal,Superior completa (IP/CFT),En el hogar del cliente,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Construcción,401320.0
22224682,Arica y Parinacota,Mujer,35 a 44 años,Formal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $1.000.000 a $1.500.000,Suministro de electricidad y agua,1915000.0
61332320,Atacama,Mujer,15 a 24 años,Informal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Explotación de minas,230000.0
81257646,Arica y Parinacota,Hombre,35 a 44 años,Informal,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Tradición familiar,Menos de $300.000,Suministro de electricidad y agua,240000.0
75854092,Los Ríos,Hombre,25 a 34 años,Informal,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Explotación de minas,1000000.0
67002339,Coquimbo,Hombre,45 a 54 años,Informal,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Otra razón,Menos de $300.000,Industrias manufactureras,400000.0
29889713,Coquimbo,Mujer,55 a 64 años,Informal,Básica completa / Media incompleta,Predio agrícola,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,300000.0
78547037,Coquimbo,Mujer,45 a 54 años,Informal,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,30000.0
57715334,Ñuble,Hombre,65 años o más,Formal,Media completa,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,80000.0
58653861,Los Ríos,Mujer,55 a 64 años,Informal,Media completa,No tiene un lugar fijo,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,50000.0
74060387,Los Lagos,Mujer,35 a 44 años,Informal,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,300000.0
64012691,Los Lagos,Hombre,45 a 54 años,Formal,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $300.000 a $600.000,Industrias manufactureras,800000.0
26540224,Los Lagos,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Tradición familiar,Menos de $300.000,Comercio,350000.0
47914713,Valparaíso,Mujer,55 a 64 años,Formal,Media completa,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Explotación de minas,250000.0
78525518,Valparaíso,Mujer,35 a 44 años,Informal,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Comercio,400000.0
32903931,Metropolitana,Mujer,55 a 64 años,Informal,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Comercio,120000.0
13043628,La Araucanía,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Complementar ingresos,Menos de $300.000,"Agricultura, silvicultura y pesca",400000.0
84574819,Los Lagos,Hombre,35 a 44 años,Informal,Media completa,Obra en construcción,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),De $300.000 a $600.000,Industrias manufactureras,800000.0
16445380,O'Higgins,Hombre,65 años o más,Informal,Media completa,Local/Oficina/Taller establecido,Préstamos de familiares/amigos,Tradición familiar,Menos de $300.000,"Agricultura, silvicultura y pesca",400000.0
52127734,Valparaíso,Hombre,65 años o más,Informal,Básica completa / Media incompleta,No tiene un lugar fijo,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Comercio,650000.0
14175857,Aysén,Hombre,35 a 44 años,Informal,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $1.000.000 a $1.500.000,Industrias manufactureras,1700000.0
14604642,Maule,Hombre,55 a 64 años,Formal,Básica completa / Media incompleta,Obra en construcción,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Suministro de electricidad y agua,650000.0
26762065,Tarapacá,Mujer,25 a 34 años,Informal,Básica completa / Media incompleta,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,100000.0
57220239,Valparaíso,Hombre,45 a 54 años,Informal,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,"Agricultura, silvicultura y pesca",200000.0
25200334,Valparaíso,Hombre,35 a 44 años,Formal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Tradición familiar,Menos de $300.000,Suministro de electricidad y agua,500000.0
26374076,Ñuble,Hombre,65 años o más,Formal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Explotación de minas,1000000.0
24809991,Los Lagos,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,Obra en construcción,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Industrias manufactureras,800000.0
28753073,Los Lagos,Hombre,65 años o más,Informal,Básica completa / Media incompleta,En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $1.000.000 a $1.500.000,Construcción,1600000.0
28062260,La Araucanía,Mujer,65 años o más,Informal,Media completa,En la vía pública / Kiosco,Préstamos de familiares/amigos,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,"Agricultura, silvicultura y pesca",200000.0
53315856,La Araucanía,Hombre,55 a 64 años,Informal,Media completa,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,400000.0
35142395,Los Lagos,Hombre,15 a 24 años,Informal,Media completa,Vehículo,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,280000.0
48838633,Maule,Hombre,65 años o más,Formal,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $1.500.000 a $2.500.000,Comercio,2500000.0
20222483,Coquimbo,Mujer,45 a 54 años,Formal,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $1.000.000 a $1.500.000,Comercio,1870000.0
51967241,Metropolitana,Hombre,45 a 54 años,Formal,Superior completa (IP/CFT),Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $300.000 a $600.000,Industrias manufactureras,1000000.0
73372787,La Araucanía,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Tradición familiar,Menos de $300.000,"Agricultura, silvicultura y pesca",-163000.0
16393393,La Araucanía,Hombre,45 a 54 años,Informal,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,"Agricultura, silvicultura y pesca",335000.0
61335348,Valparaíso,Hombre,25 a 34 años,Informal,Superior completa (IP/CFT),Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $300.000 a $600.000,Construcción,1000000.0
36294531,Biobío,Hombre,45 a 54 años,Informal,Básica completa / Media incompleta,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,280000.0
19271234,La Araucanía,Mujer,55 a 64 años,Informal,Media completa,En la vía pública / Kiosco,Financiamiento formal (Bancos/Instituciones),Tradición familiar,Menos de $300.000,Comercio,40000.0
36914069,Aysén,Mujer,35 a 44 años,Formal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Suministro de electricidad y agua,1200000.0
76195895,Metropolitana,Mujer,55 a 64 años,Formal,Superior incompleta (IP/CFT/Univ),En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Explotación de minas,0.0
45443845,O'Higgins,Hombre,55 a 64 años,Informal,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Tradición familiar,De $300.000 a $600.000,Comercio,800000.0
39860423,Ñuble,Mujer,55 a 64 años,Informal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,200000.0
67907719,Ñuble,Hombre,25 a 34 años,Informal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar,De $300.000 a $600.000,Suministro de electricidad y agua,700000.0
34963335,Valparaíso,Hombre,55 a 64 años,Informal,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $300.000 a $600.000,Suministro de electricidad y agua,650000.0
41534101,Maule,Mujer,35 a 44 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,300000.0
43406019,Tarapacá,Mujer,35 a 44 años,Formal,Superior completa (IP/CFT),Vehículo,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Comercio,1100000.0
83655563,Tarapacá,Hombre,45 a 54 años,Formal,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,500000.0
35822688,Valparaíso,Mujer,25 a 34 años,Informal,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,5000.0
83834089,Metropolitana,Hombre,55 a 64 años,Informal,Básica completa / Media incompleta,No tiene un lugar fijo,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Construcción,360000.0
16197650,Magallanes,Hombre,65 años o más,Formal,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $600.000 a $1.000.000,Suministro de electricidad y agua,1500000.0
72081453,Los Lagos,Hombre,45 a 54 años,Formal,Media completa,En el hogar del cliente,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $600.000 a $1.000.000,Construcción,1200000.0
